SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Matagorda,,,Bark,1847,"Piermont, NY",11/1852,1852,11,,Egg Harbor Beach,,,Stranded,,,,,,177,,"New Bedford, MA","Mobile, AL","New York, NY",,,,,,,,,,N,,
Mattie E Tabor,,Thomas Parker,Schooner,1865,"Cherryfield, ME",12/5/1885,1885,12,5,Chadwick LSS N 1.5 mi,,,Stranded,Wood,US,110.2,32.3,7.5,235.28,223.52,"Port Jefferson, NY","Bermuda Hundred, VA","New York, NY",Lyman,7,,0,6000,1200,Pinewood,Chadwicks,Y,N,#16881; Broke up; Total loss,
May Montanye,,,Schooner,,,1/28/1880,1880,1,28,Great Egg Harbor Inlet,,,Mechanical damage,,,,,,28,,"Perth Amboy, NJ","Potomac River, MD","New York, NY",Seeley,4,,0,3500,500,Oysters,Absecon # 28,N,N,#90206; Repaired & set sail,
Melissa,,,Schooner,,,12/21/1841,1841,12,21,Squan Beach,,,Stranded,,,,,,,,,"Washington, NC","New York, NY",Nadol,,,,,,Naval stores & cotton,,Y,N,Total loss,
Melissa Trask,,,Schooner,1880,"Brewer, ME",12/26/1890,1890,12,26,Sandy Hook LSS E 2.5 mi,,,Stranded,,,113.2,29.2,9.7,237,224,"Bangor, ME","Jacksonville, FL","New York, NY",Atwood,,,,8000,2450,Lumber,,N,N,#91277; Refloated,
Memento (1853),,,Schooner,,,12/4/1853,1853,12,4,"Cape Island, NJ",,,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Hammond,,,,,,,,,N,,
Memento (1873),,Tonning,Bark,1867,"Langesund, Norway",7/17/1873,1873,7,17,Squan Inlet S .25 mi,,,Stranded,,Norway,,,15.5,518,,,"Rio de Janiero, Brazil","New York, NY",Hay,,,,16000,,In ballast,,N,N,Refloated,
Memphis,,,,,,3/17/1841,1841,3,17,Sandy Hook S 2 mi,,,Stranded,,,,,,,,"New York, NY","New Orleans, LA","New York, NY",Knight,,,,64000,,,,N,N,Refloated,
Merak,,,Schooner,,,5/1855,1855,5,,Delaware Capes,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,,,,,,,,Y,N,Total loss,
Meta,Full Rigged Clipper,F Roters,Clipper ship,1854,"Damariscotta, ME",10/14/1883,1883,10,14,Bay Head LSS S 1.5 mi,40-02-30 N,74-02-40 W,Stranded,Wood,Germany,204,42,28,1812,,"Bremerhaven, Germany","Bremerhaven, Germany","New York, NY",Frerichs,24,,0,25000,20000,8000 empty barrels,,Y,Y,Total loss,
Mexico,,Samuel Broome,Bark,1826,,1/1/1837,1837,1,1,Hempstead Beach LI Point Lookout,,,Stranded,Wood,US,,,,275,,"New York, NY","Liverpool, England","New York, NY",Charles Winslow,12,112,37,,,,,Y,N,Total loss,
Minerva (1857),,,Sailing ship,1853,"Bremen, Germany",4/21/1857,1857,4,21,"Cranberry Inlet, NJ",39-56-20 N,74-04-00 W,Stranded,Wood,Netherlands,,,,332,,"Boston, MA","Rotterdam, Netherlands","New York, NY",Wieting,16,4,0,,,"Liquor, grapes",,Y,N,Total loss,
Minnie Aiken,,,Schooner,,,8/19/1879,1879,8,19,Bonds LSS NE .75 mi,,,Stranded,,,,,,36.67,,"Bridgeton, NJ","Morris River, NJ","New York, NY",Smith,3,,0,3000,350,Melons,Bonds #22,Y,N,#90811; Total loss,
Minnie Still,,,Schooner,,,12/10/1878,1878,12,10,Stone Harbor LSS N 1.5 mi,,,Stranded,,,,,,55,,"Patchogue, NY","Port of Yorktown, Virginia","New York, NY",Silsbie,4,,0,3000,1000,Oysters,Stone Harbor #35,N,N,#90147; Refloated,
Miraflores,,Standard Fruit Co,Freighter,1921,"Wallsend, England",2/19/42,1942,2,19,Cape May SE 53 mi,,,War loss,Steel,US,270,39,20,2755,,"New Orleans, LA","Les Cayes, Haiti","New York, NY",Charles Thompson,34,0,34,,,Tropical fruit,,Y,Y,#145445; ID'd by Gene Peterson,
Mississippi,,,Schooner,,,12/16/1847,1847,12,16,Absecon Beach,,,Stranded,,,,,,,,"York River, VA","Norfolk, VA","New York, NY",,5,1,0,2000,2700,,,Y,N,Total loss,
Mistletoe (1884),,J W Elwell & Co,Bark,1875,"Youngs Cove, NS",2/6/1884,1884,2,6,Shark River Inlet S 100 yds,,,Stranded,,England,164,34.5,19.7,821,,"St John, NB, Canada ","Liverpool, England","New York, NY",Quigley,14,,0,35000,,In balllast,Spring Lake & Shark River,N,N,#72227; Refloated,
Moderator,,Loren Bugbie,,1855,,9/8/1877,1877,9,8,"Synopurion Beach, MD",,,Mechanical damage,,,,,,151.75,,"Tuckerton, NJ","Pergaubar River, Va","New York, NY",Cooper Predmore,6,,0,5000,600,Wood,,Y,N,#16592; Total Loss,
Mogul,,Nesmith & Leeds,Schooner,,,5/12/1841,1841,5,12,Barnegat E 15 mi,,,Mechanical damage,Wood,US,,,,,,"New York, NY","Tobasco, Mexico","New York, NY",Daniel Smith,6,,0,4000,4500,Logwood,,Y,N,Capt accused of scuttling; Exonerated,
Mola,,J F Whitney & Co,Schooner,1892,"Black River, NB",4/20/01,1901,4,20,Chadwick LSS S 1.25 mi,,,Stranded,Wood,England,137.8,32.6,11.1,367,,"St John, NB, Canada ","Buenos Aires, Arg","New York, NY",McKeller,8,,0,12000,64000,"Hides, wool",Chadwick & Toms River,N,N,#100091; Refloated; partial cargo loss,
Montezuma,,Black Ball Line,Packet,1843,"New York, NY",5/18/1854,1854,5,18,"Jones Beach, LI",,,Stranded,Wood,US,162,35.8,21,924,,"New York, NY","Liverpool, England","New York, NY",DeCourcey,,400,0,,,,,N,Y,,"Also see ""Coriolan"" & ""William Layton"""
Montross,,Wagdell & Co,Brig,1855,"Baltimore, MD",3/9/1871,1871,3,9,Long Branch NE 3 mi,,,Collision,,,,,10.5,188,,"New York, NY","Ponce, Puerto Rico","New York, NY",Peterson,,,,,,350 hogsheds of sugar,,Y,N,Broke up,
Morgiana,,,Brig,,,1/27/1837,1837,1,27,Barnegat Shoal,,,Stranded,,,,,,,,"Portland, ME","Matanzas, Cuba","New York, NY",Libby,,,,,,,,Y,N,Total loss,
Morning Star (1863),,,Steamer,,,8/1/1863,1863,8,1,Asbury Park 3rd Ave,,,Stranded,,,,,,,,,"New Orleans, LA","New York, NY",Perkins,,,,,,General,,,N,,
Morning Star (1867),,,Schooner,,,6/5/1867,1867,6,5,Deal Beach,,,Stranded,,,,,,,,,"Nassau, Bahamas","New York, NY",,,,,,,Fruit,,,N,,
Morosco,,,Brig,,,1/15/1842,1842,1,15,Townsends Inlet,,,Stranded,,,,,,,,"Waldoboro, ME","St Marks, NY","New York, NY",,,,,,,,,Y,N,Bilged,
Morro Castle,,Ward Line,Passenger,1930,"Newport News, VA",9/8/34,1934,9,8,Asbury Park,,,Stranded,Steel,US,508,70,39,11520,,"New York, NY","Havana, Cuba","New York, NY",Robert R Willmott,231,548,134,5500000,,Passengers and mail,,N,Y,#230069; Refloated & Scrapped,
Mortimer Livingston,,Boyd & Hineken,Ship,1846,"Portsmouth, NH",1/24/1863,1863,1,24,Corsons Inlet,38-09-12 N,74-41-12 W,Stranded,,,132.3,29.5,12.8,214,,"New York, NY","Havre, Belgium","New York, NY",Sampson,,300,2,,,General,,Y,N,#1786; Vessel lost,
Moses B Bramhall,,,Schooner,1860,"Jersey City, NJ",10/20/1891,1891,10,20,Sandy Hook Romer Shoal,,,Stranded,,,122.9,31.3,13.4,345.31,238.05,"New York, NY","Charleston, SC","New York, NY",Smith,7,,0,4000,2240,Railroad Ties,Sandy Hook,Y,N,#16887; Total loss,
N & W #3,,N & W Railroad,Schooner,1890,"Brooklyn, NY",10/2/1897,1897,10,2,Barnegat SE 15 mi,,,Mechanical damage,Wood,US,176,34.8,17.3,863,845,"Philadelphia, PA","Norfolk, VA","New York, NY",McPartridge,,,0,30000,5000,1310 ton coal,,N,N,#130470; Same incident as N&W #1,
Narragansett (1872),,J Atkins & Co,Bark,1849,"Warren, RI",4/9/1872,1872,4,9,Highlands SSE 16 mi,,,Collision,,,,,18.5,681,,"New York, NY","Savannah, GA","New York, NY",Thomas A Hamilton,,,,,,,,N,N,Damaged,
Nellie Floyd,,,Schooner,1879,"Port Jefferson, NY",2/6/1884,1884,2,6,Highlands SSE 18 mi,,,Collision,,,136,33,15.4,457.6,434.72,"New York, NY","Georgetown, SC","New York, NY",,,,1,,,Naval stores and cotton,,N,N,#130144; Partial loss; made port,
New Era (1854),,Hitchcock & Co,Passenger,1854,"Bath, ME",11/13/1854,1854,11,13,Deal Beach,40-13-20 N,74-59-40 W,Stranded,,US,,,,1328,,"Bath, ME","Bremerhaven, Ger","New York, NY",Thomas J Henry,29,397,220,,,"Chalk, gen merchandise",,Y,Y,Total loss; 46 died of cholera en route,
New Jersey (1846),,,Bark,,,2/15/1846,1846,2,15,Squan Beach N 8 mi,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",Edward Lewis,11,1,0,,,"Cotton, hides & iron",,Y,N,Ship lost; cargo saved; 10 ships lost in storm,
New York (1856),,G Buckley,Passenger,1844,"New York, NY",12/20/1856,1856,12,20,Barnegat Inlet N 2.5 mi,39-47-30 N,74-04-30 W,Stranded,,,,,15,524,,,"Liverpool, England","New York, NY",McKennon,27,301,0,,,Flour; Tobacco,,Y,N,Captain stabbed by crew,"Also see ""Tasso"""
New York (1883),,Morgan Line SS Co,Steamer,1875,"Wilmington, DE",11/4/1883,1883,11,4,Five Fathom Bank Lightship SE 8 mi,,,Collision,Iron,US,281,38.1,20.2,2284,,"New York, NY","New Orleans, LA","New York, NY",R B Quick,,,0,,,Cotton Molasses,,N,N,"#130043; Rescued crew of ""Blanch Hopkins""",Scrapbook #15
Newport (1888),,Pacific Mail,Steamer,1880,"Chester, PA",5/12/1888,1888,5,12,New Jersey coast,38-05-00 N,74-50-00 W,Collision,,,326,38.2,23,1806,,"New York, NY","Aspinwall, PA","New York, NY",,,,,,,,,N,N,#130179; Slight Damage,
Niagara (1847),,,Ship,,,11/25/1847,1847,11,25,Sandy Hook,,,Stranded,,,,,,730,,,"Liverpool, England","New York, NY",,26,274,0,56000,35337,,,,N,,
Nicanor,,Black Bros & Co,Bark,1886,"Mahone Bay, NS",9/2/1889,1889,9,2,"Egg Harbor Inlet, Outer bar",,,Stranded,,,240,30.8,16.9,453,,"Lunnenberg, NS","Montevideo, SA","New York, NY",Wolfe,13,,0,25000,18000,Wool & hides,,N,N,#90861; Refloated without damage,See scrapbooks 38 - 43 - Purple Misc
Nightingale (1865),,,Steamer,1864,"Mystic, CT",9/26/1865,1865,9,26,Absecon,,,Stranded,,,,,,849,,"New York, NY","Savannah, GA","New York, NY",Breaker,,,,,,,,N,N,#18298; Refloated; lost again in 1868,
Nile (1853),,D C Ketcham & Co,Sloop,,,5/18/1853,1853,5,18,Sandy Hook E,,,Stranded,,,,,,,,"New York, NY","Greenbank, NJ","New York, NY",,,,0,,,Glass,,Y,N,Cargo lost; crew saved,
North America (1843),,,Packet,1831,"New York, NY",2/14/1843,1843,2,14,Shrewsbury Inlet,40-23-48 N,73-58-00 W,Stranded,,,184.5,31.5,15.8,610,,,"Liverpool, England","New York, NY",Lowber,,,,,,,,Y,N,Total Loss,
North America (1888),,Henry Hastings,Ship,1873,"East Boston, MA",3/29/1888,1888,3,29,Highlands S 25 mi,,,Collision,,,234,41,24,1584,,"Boston, MA","Calcutta, India","New York, NY",B C Creelman,,,,,,,,N,N,#18751; Partial loss,
Norwood,,E Roy,Ship,1891,"Maitland, NS",10/17/1895,1895,10,17,Long Beach LSS NE 1.75 mi,,,Stranded,Wood,Canada,235.3,42.7,24,1795,1597,"Maitland, NS","Chochin, India","New York, NY",Alex Douglas,21,2,0,38000,160000,Coconut oil,Long Beach & Ship Bottom,N,N,Refloated,
O M Marrett (1877),,C McKown,Schooner,1869,"Booth Bay , ME",2/6/1877,1877,2,6,Little Egg Harbor LSS N 1 mi,,,Stranded,,,100,26,9,194,,"Brooklyn, NY","Ponce, Puerto Rico","New York, NY",Reed,7,,0,12000,3000,Oranges,Little Egg #23,N,N,#19312; Refloated; Towed to NY,See Misc File Drawer
O P Binns (1878),,,Schooner,,,6/1/1878,1878,6,1,Cape May,,,Stranded,,,,,,113.55,,"New York, NY","Fredericksburg, VA","New York, NY",Steelman,6,,0,2000,1000,Railroad ties,Cape May #39,,N,#19024,
Olive (1842),,,Schooner,,,1/6/1842,1842,1,6,Absecon Beach,,,Stranded,,,,,,,,,"Wilmington, DE","New York, NY",Marshall,,,0,13000,,,,,N,,
Olive T Whittier,,Chase Leavitt & Co,Schooner,1891,"Rockland, ME",2/22/04,1904,2,22,Long Branch NE 1 mi,,,Stranded,Wood,US,152,35.5,12.4,562,493,"Portland, ME","Fernandina, FL","New York, NY",F P Whittier,7,,,20000,4500,Lumber,Long Beach #21,Y,Y,#155215; Total loss,
Oliver H Booth,,,Schooner,1856,"Poughkeepsie, NY",11/10/1885,1885,11,10,Great Egg Harbor Inlet,,,Stranded,,,120,33,9.7,243,230.7,"New York, NY","Port of Yorktown, Virginia","New York, NY",Bowen,7,,0,9000,1320,Cord wood,,N,N,#19020; Refloated,
Ontario,Full Rigged Clipper,"Grinnell, Minturn & Co",Clipper ship,1854,"New Castle, ME",3/8/1876,1876,3,8,Little Egg Harbor Inlet N 2 mi,39-31-5  N,74-15-7 W,Stranded,Wood,US,198.7,39.7,27.3,1544,,"New York, NY","London, England","New York, NY",Francis Patterson,27,,0,60000,125000,General cargo,Bonds #22,Y,N,#19049; Most caargo saved,
Oregon SS (1884),,Cunard SS Line,Passenger,1883,"Glasgow, Scotland",4/19/1884,1884,4,19,Sandy Hook LSS NE 2 mi,,,Stranded,Steel,,520,54,40.75,7375,,"New York, NY","Liverpool, England","New York, NY",Price,295,418,0,1500000,500000,"Passengers, general cargo, mail",Sandy Hook,N,Y,#87887; Refloated w/ no assistance,
Oregon SS (1886),,Cunard SS Line,Passenger,1883,"Glasgow, Scotland",3/14/1886,1886,3,14,Fire Island Inlet SE 15 mi,40-32-00 N,72-53-00 W,Collision,Steel,,520,54,40.75,7375,,"New York, NY","Liverpool, England","New York, NY",Cottier,295,641,0,1500000,500000,"Passengers, general cargo, mail",,Y,Y,Total loss,
Orestes,,,Brig,,,11/24/1854,1854,11,24,Egg Harbor,,,Stranded,,England,,,,,,,"Turks Is., West Indies","New York, NY",,,,,,,Salt,,Y,N,Sank,
Orville Harden,,Panama Transport Co,Twin diesel tanker,,,2/4/45,1945,2,4,Ambrose Channel S 2 mi,,,Collision,,,,,,17990,,,"Beaumont, TX","New York, NY",Koj Borgly,57,,1,,,"109,486 bbls fuel oil",,N,N,Raised & refloated,
Ottawa,,,Bark,,,1/1856,1856,1,,Sandy Hook Romer Shoal,,,Stranded,,,,,,,,,"Havana, Cuba","New York, NY",,,,,,,,,,N,,
P A Saunders,,Steelman & Co,Schooner,1855,"Bridgeton, NJ",3/16/1876,1876,3,16,Highland Light S .5 mi,,,Collision,Wood,,,,10,174,,"Bridgeton, NJ","Norfolk, VA","New York, NY",Steelman,,,,4000,600,Pine wood,Seabright #3,,N,#3041,
Pacific (1856A),,,Schooner,,,1/5/1856,1856,1,5,Little Egg Harbor,,,Stranded,,,,,,,,"Wilmington, DE","Wilmington, DE","New York, NY",Pharo,5,,4,,,,,,N,,
Panchito,,Robert Oho,Brig,1866,"San Felis, Spain",2/13/1888,1888,2,13,Ocean City LSS S .75 mi,39-14-40 N,74-36-50 W,Stranded,,Spain,102.6,"42,2",12.4,267,,"Barcelona, Spain","Laguano, Mexico","New York, NY",Mulet Llado,11,,0,4000,9000,Hides and logwood,Ocean City,N,N,Refloated,
Pandora,,,Sloop,,,2/1/1880,1880,2,1,Between Cold Spring & Turtle Gut,,,Stranded,,,,,,24.19,,"Perth Amboy, NJ","Philadelphia, PA","New York, NY",Longstreet,2,,0,2800,,None,"2 mi Sta #28, Squan Beach",N,N,#150175; Refloated,
Parkfield,,W & Rwrights,Sailing ship,1872,"St Johns, NS",2/4/1883,1883,2,4,Little Egg Harbor S 2 mi,39-27-30 N,74-16-20 W,Stranded,,England,200.5,39.6,24,1379,,"Liverpool, England","Calcutta, India","New York, NY",Wm Anderson,24,,0,25000,120000,"Hides, linseed , Jute",Little Egg Harbor #23,Y,N,#69259; Total loss,
Pero D'Alemquer,,,Bark,1869,"Liverpool, England",12/2/15,1915,12,2,"Mantaloking, NJ",,,Stranded,Iron,Portugal,263,38.2,23.1,1528,1469,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",Thomas Stephens,,,,,,,,N,Y,Refloated,
Persephone,,Panama Transport Co,Tanker,1925,,5/25/42,1942,5,25,Barnegat Light NE 2.5 mi,39-46-28 N,74-02-00 W,War loss,Steel,Panama,468.7,63.2,35.2,8426,,Panama,"San Nicolas Port, Aruba","New York, NY",Hilge Quistgaard,37,,9,,,"90,000 bbls fuel oil",USCG Barnegat Light,Y,Y,Bow salvaged; stern sank; 21K bbls saved,
Perserverance (1815),,,Brig,,,12/25/1815,1815,12,25,Pecks Beach,39-17-30 N,74-32-30 W,Stranded,,,,,,,,"La Havre, France","LeHavre, France","New York, NY",Snow,7,10,13,,400000,"Rich goods, china, glass, silks",,Y,N,Total loss,See Misc File Drawer
Perserverance (1835),,,Schooner,,,~1835,1835,,,Squan Beach,,,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,,,,,,Coal,,Y,N,Total loss; crew saved,
Peru (1843),,,Schooner,,,11/20/1843,1843,11,20,"Off Barnegat, NJ",,,Collision,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",West,,,,,,Coal,,Y,N,Sunk; crew saved,
Peter C Schultz,,,Schooner,1874,"Newburgh, NY",12/26/1892,1892,12,26,Monmouth Beach LSS E 1.5 mi,,,Collision,Wood,,129.6,32,15.4,328,415,"New York, NY","City Point, VA","New York, NY",Lowery,7,,0,12000,3000,Railroad ties,Monmouth Beach,N,N,#20478; Towed into port,
Phantom (1854),,,Medium clipper,1852,"Medford, MA",2/14/1854,1854,2,14,Sandy Hook Flynn Knoll,,,Stranded,,,195,37,21.6,1174,,,"Rio de Janiero, Brazil","New York, NY",Hallet,,,,,,Guano,,N,N,Refloated,
Phoebe Ann,,,Schooner,1835,"New York, NY",5/1/1891,1891,5,1,Little Egg LSS S .5 m,,,Stranded,,,59.2,18,5.1,32.1,30.5,"Patchogue, NY","Little Egg Harbor, NJ","Rockaway, NY",Pearsall,4,,0,1500,700,Oysters,Little Egg,N,N,#19861; Refloated,See Misc File Drawer
Phoenix (1926),,,Schooner,1898,"Noank, CT",2/3/26,1926,2,3,Sandy Hook,,,Stranded,Wood,,194,35,7.6,901,838,"Philadelphia, PA","Norfolk, VA","New York, NY",,3,,3,,,Coal,,,N,#150795,
Pioneer Myth,,United States Line,Freighter,1954,"Pascagoula, MS",7/2/66,1966,7,2,Atlantic City E 20 mi,,,Collision,Steel,US,529.6,76.3,30.5,9214,5367,,"Charleston, SC","New York, NY",,,,0,,,,Atlantic City; Manasquan,N,N,Made New York for repairs,
Pliny,,"Liverpool, Brazil, River Platt SS Co",Steamer,1878,"Barrow, England",5/13/1882,1882,5,13,Deal Beach,40-14-10 N,73-59-30 W,Stranded,Iron,England,288,33.3,24,1671,1060,"Liverpool, England","Rio de Janiero, Brazil","New York, NY",Robert Mitchell,36,25,0,200000,258000,"Coffee, hides, etc","Long Branch #5, Shark River #7",Y,Y,#1327; Total loss,
Plow City,,Hodges SS Co,Freighter,,,5/21/42,1942,5,21,Cape May E 200 mi,39-08-00 N,69-57-00 W,War loss,,,,,,3284,,"Wilmington, DE","Trinidad, BWI","New York, NY",George Haveleaf,31,,1,,,4970 ton Bauxite,,Y,N,War loss,
Polly (1779),,,Scow,,,3/21/1779,1779,3,21,Brigantine Beach,,,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",,,,,,,,,N,N,Ship & cargo presumed saved,
Porgie,,,Sloop,,,9/8/1769,1769,9,8,Barnegat Beach,,,Stranded,,,,,,,,,"Edenton, NC","New York, NY",Christopher Johnson,4,,0,,,Pitch & turpentiine,,Y,N,Total loss; Crew & most cargo saved,
Powhatan (1854),Powhattan,William Graham,Packet,1837,"Baltimore, MD",4/16/1854,1854,4,16,"Surf City, NJ",,,Stranded,Wood,US,132.9,31.7,15.9,598,,"Baltimore, MD","Havre, France","New York, NY",James Meyers,29,311,340,18000,,General from France and Germany,,Y,Y,Total loss,
Powhatan (1961),,James Sands Darling Jr,Motor,1931,"Hampton, VA",4/10/61,1961,4,10,Cape May E 35 mi,,,Collision,Wood,US,77.5,19.6,6.6,61,,"Newport News, VA","Charleston, SC","New York, NY",Severn Robins,5,,4,,,,,Y,N,#231333; Total loss,
Princeton (1859),,Hink & Pones,Brig,1854,"Rockland, ME",3/9/1859,1859,3,9,Squan Inlet S 7.5 mi,,,Stranded,,,95,25,11,193,,,"Kingston, Jamaica","New York, NY",Wills,,,0,,,Logwood,,N,N,Refloated 3/25/1859,
Puritan (1874),,E Williams,Ship,1866,"East Boston, MA",4/17/1874,1874,4,17,Sandy Hook,,,Stranded,,US,187,37,23,131,,"Boston, MA","Manila, Philippines","New York, NY",Doane,,,,,,,,N,N,Refloated,
Quebec,,,Bark,1867,"Hantsport, Nova Scotia",4/5/1886,1886,4,5,Barnegat SE 15 mi,,,Collision,,,202.2,41.8,24.9,,,"Windsor, NS","Antwerp, Belgium","New York, NY",Nelson,,,,,,,,,N,,
Queen Louise,,,Steamer,1912,"Glasgow, Scotland",2/7/14,1914,2,7,Squan Inlet LSS N .25 mi,,,Stranded,Steel,England,404.9,53,27.1,4879,3139,"Glasgow, Scotland","Swansea, Wales","New York, NY",D P McDonald,39,,,300000,183000,Tinplate,Squan Beach #8,N,Y,#133028; Refloated,
Quevilly,,Soc. Anon. de Quevilly,Bark,1897,"Romeu, France",1/28/17,1917,1,28,Ambrose Lightship E,,,Collision,Steel,France,322,45.5,24.2,3203,2418,"Romeu, France","Bordeaux, France","New York, NY",,,,,,,,,,N,,
R & S Corson (1899),,R Corson,Schooner,1866,"Wilmington, DE",7/16/1899,1899,7,16,Spring Lake LSS N 2 mi,,,Stranded,,,110.4,29,8.5,262,249,"Wilmington, DE","Norfolk, VA","New York, NY",Lawson,6,,0,600,400,Lumber,Spring Lake,N,N,#21700; Refloated,
R D Bibber (011906),,Pendleton Bros,Schooner,1884,"Bath, ME",1/23/06,1906,1,23,Seabright LSS N 1.25 mi,,,Stranded,Wood,,172.8,35.7,17.8,769,648,"Bath, ME","Georgetown, SC","New York, NY",Matherson,7,,0,16000,10000,Lumber,Seabright,N,N,#110652; Refloated,
Rainbow (1852),,,Schooner,,,4/3/1852,1852,4,3,,,,Stranded,,,,,,,,"Cape Island, NJ","Philadelphia, PA","New York, NY",Williams,,,,,,,,Y,N,Crew all lost,
Rebecca C Fisher,R C Fisher,,Brig,1840,"New Haven, CT",4/19/1848,1848,4,19,Barnegat,,,Burned,Wood,US,88.6,24.1,11.1,222,,"New Haven, CT","Apalachicola, FL","New York, NY",,,,,,,,,Y,N,Total loss; Crew saved,
Rebecca Crowell,,S G Loud & Co,Bark,1873,"East Boston, MA",5/12/1888,1888,5,12,Barnegat,,,Collision,,US,144,32,16.8,557,,"New York, NY","Auckland, NZ","New York, NY",Crowell,,,,,,,,N,N,#110098; Partial loss,
Register,,,Schooner,,,2/15/1846,1846,2,14,"Long Branch, NJ",39-44-46 N,74-05-20 W,Stranded,,,,,,100,,,"New Bern, NC","New York, NY",Powers,5,1,1,,,Turpentine & peas,,Y,N,Total loss,
Remedios-Pascal,Stalwart,Marcelino Jane,,1885,"Barton, NS",1/3/03,1903,1,3,"Ship Bottom, NJ",,,Stranded,Wood,Spanish,216,40,22.8,1616,1471,"Barcelona, Spain","Buenos Aires, Argentina","New York, NY",Morato,21,,0,12000,10000,Bones,Ship Bottom,Y,Y,Total loss,
Rhodella Blew (1878),,C Matthews,Schooner,1859,"Mauricetown, NJ",9/4/1878,1878,9,4,Barnegat,,,Stranded,,,,,,184.43,173.21,"New York, NY","Norfolk, VA","New York, NY",William Scull,5,0,0,500,600,250 ton wood,,N,N,#21501; Refloated,
Ricardo Barros,,J W Furman,Schooner,1866,"Patchogue, NY",11/18/1874,1874,11,18,Hereford Shoal,,,Stranded,,Spain,,,8,160,108,"New York, NY","Ponce, Puerto Rico","New York, NY",S B Newton,7,,0,7000,5000,Oranges,Hereford Inlet #36,Y,N,Total loss,
Richmond (1877),,,Steamer,,,8/13/1877,1877,8,13,Brigantine Shoal,,,Stranded,,,,,,1437.96,,,"Lewiston, DE","New York, NY",Kelly,47,,0,200000,,Fruit,Brigantine #25,N,N,#110086; Refloated; No damage,
Ridgewood,,George M Smith,Schooner,1863,"Greenpoint, NY",3/18/1871,1871,3,18,Squan Beach,,,Collision,Wood,US,,,11,298,,,"Georgetown, SC","New York, NY",,,,,,,,,N,N,Damaged; Reached New York 3/20/1871,
Rio Grande (1883),,,Sloop,,,1/16/1883,1883,1,16,Wreck Pond Inlet,,,Stranded,,,30,15,4,12.94,12.79,"Perth Amboy, NJ","Little Egg Harbor, NJ","New York, NY",J W Foster,4,0,0,1000,200,Clams,#8 and #9,N,N,#21587; Refloated,
Rio Grande (1890),,,Sloop,,,12/17/1890,1890,12,17,Little Egg Harbor,,,Stranded,,,30,15,4,12.94,12.79,"Manasquan, NJ","Highlands, NJ","New York, NY",Foster,4,0,0,800,75,Clams,,,N,#21587,
Rising States,,,Schooner,,,12/24/1824,1824,12,24,Deal Beach,,,Stranded,,,,,,,,,"Charleston, SC","New York, NY",,,,,,,Cotton,,,N,,
Rival (1873),,A Abrahamsen,Bark,,,10/6/1873,1873,10,6,Highlands,,,Collision,,Norway,,,14,340,,"Grimstad, Norway","Whitehaven, UK","New York, NY",S Jorgensen,,,,,,,,N,N,Partial Loss,
Rival (1904),,,Schooner,1902,"Essex, MA",4/8/04,1904,4,8,Brigantine Shoal,39-23-00 N,74-23-00 W,Stranded,Wood,US,102.3,24.4,10.6,122,91,"Gloucester, MA","Hampton Roads, VA","New York, NY",C W Farmer,18,0,0,15000,2000,Fish,South Brigantine,Y,N,#111397; Total Loss,
Rjukan,,T Offenberg & Co,Sailing ship,1856,"Boston, MA",12/26/1876,1876,12,26,Ocean Park,40-12-40 N,74-00-00 W,Stranded,Wood,Norway,184.6,36.6,22.2,960,,"Skien, Norway","London, England","New York, NY",Theodore Hanson,20,0,0,25000,0,None,Shark River #7,Y,N,Total  Loss,
Robert J Walker,Walker,U S Coast Survey,Sidewheel steam,1847,"Pittsburgh, PA",6/21/1860,1860,6,21,Absecon Beach E 12 mi,39-20-00 N,74-28-00 W,Collision,Iron,US,134,30.8,,358,,,"Norfolk, VA","New York, NY",John Julius Guthrie,71,1,20,,,,,Y,Y,"Crew rescued by ""R G Porter""",
Robert Ruff,,Ruff & Co,Schooner,1871,"Bath, ME",5/16/1885,1885,5,16,Absecon E 35 mi,,,Mechanical damage,,,120.5,29.6,8.1,21.9,,"Galveston, TX","Tlacoralpan, Mexico","New York, NY",P Macheprang,,,,,,,,N,N,#110121; Partial Loss,
